pollutant,year,mean,median,p25,p75
PM10,2012,47.70627382398313,45.7681544398609,42.18645627277073,50.80009388436045
PM10,2013,46.59614530237374,44.25356301191535,40.5241035335596,49.44775820148213
PM10,2014,51.780831246075046,48.62546400737188,42.78101122578464,60.171041670098575
PM10,2015,42.09937897349496,38.81708270766523,34.48126141973298,46.32211480808572
PM10,2016,44.69770352123122,43.09437774476618,39.80131992414479,48.580644795588036
PM10,2017,40.836042673362535,39.59205484966564,36.220749608766454,44.45872379436841
PM10,2018,37.39471250289318,36.17987742076337,31.621397253384636,40.77785272719856
PM10,2019,33.278613046880814,31.779040173719658,28.505912097720692,37.01824754439943
PM10,2020,32.115179407312084,30.61373664181231,27.61947391063491,34.80747139605458
PM10,2021,30.81328128460849,28.68676799572537,25.925894079431238,33.81177609088002
PM10,2022,32.3361417224597,31.183261722469215,26.113726435827353,37.830548871590636
PM10,2023,28.761982037492462,27.020479579426286,23.525381388055948,32.143317550404106
PM10,2024,32.56371539371016,29.915514919164448,27.10597099485753,34.598732813982345
PM2.5,2010,21.711545566963004,21.292999267578125,19.33540711175828,23.30559801374163
PM2.5,2011,18.520256264496044,18.09394727434431,16.028298786708287,20.352639202910346
PM2.5,2012,17.83384941270497,17.35351092998798,16.188687133789063,19.049473353794642
PM2.5,2013,18.59943161459547,18.184508484679384,16.695102055867512,19.944158179128273
PM2.5,2014,19.42141063568145,18.565110778808595,16.860582160949708,21.40143839518229
PM2.5,2015,16.295533610077214,15.641759699041193,13.98648910522461,18.130179632277716
PM2.5,2016,19.4431195847073,18.841886520385742,17.49971029493544,20.774249394734703
PM2.5,2017,17.733476126972977,17.38233693440755,15.825617472330729,19.35071713107449
PM2.5,2018,15.572639291373275,14.776298522949219,13.462049211774554,17.231870893998583
PM2.5,2019,15.514361681371076,15.200838216145833,13.191218812336293,16.98555450439453
PM2.5,2020,15.619717713319552,15.633548736572266,13.67444356282552,17.078502655029297
PM2.5,2021,14.727879739469047,14.471549987792969,12.533727831718249,16.43518540099427
PM2.5,2022,16.63320632127414,16.270919799804688,15.156244277954102,18.16831030164446
PM2.5,2023,14.58711507712757,13.589444499330138,12.985359873191035,15.87621146224533
PM2.5,2024,15.885931741427793,14.92612819774162,14.176055857987606,16.616691003386528
SO2,2011,10.642536235870677,9.726384310338158,7.659343070287001,12.951116351864599
SO2,2012,8.910373009727792,8.21267115717666,6.471907108557095,10.763469504934275
SO2,2014,3.9115308444732517,4.019113801741449,3.5138497242132156,4.309140549647837
SO2,2015,3.170803995889977,3.3073270806971573,2.811832860908968,3.48164346547201
SO2,2016,4.378009274054453,4.387657055255615,4.291431624638038,4.493313384904356
SO2,2017,5.848315786144133,5.146042166058664,4.179279381156647,7.0176123295014285
SO2,2018,4.034317205910306,4.037983594138588,3.6469788672152665,4.26670247175786
SO2,2019,4.924405066555615,4.403804131486024,3.7905175053206333,5.581347248128057
SO2,2020,4.151554395180296,4.099008441317476,3.2628361804375006,4.565855981534513
SO2,2021,4.5991678732640855,3.787617643631784,3.1863870181882765,5.811557264819152
SO2,2022,4.833569823989141,4.515489683123059,4.0652285143439215,5.514191900812104
SO2,2023,4.258051761463633,3.9754207980570233,2.9499681626781467,5.545655205534258
SO2,2024,4.884568038538704,4.610961013341034,3.6235672323773285,5.706182514856477
eBC,2021,4.452109590410683,4.251688713942952,3.936394019604573,5.081975900702748
eBC,2022,4.312165278076445,4.496156685096558,3.6986243904604708,4.751939509069102
eBC,2023,3.731892039703434,3.852135278674785,3.226580332936488,4.118448540197374
