SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000001103,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2022;2023,7002,843,863,0.1148275862068966,2
110011000000001205,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,2805,266,526,0.0526923076923077,3
110011000000001301,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,8012,910,1002,0.0837254901960784,2
110011000000001302,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,4317,550,646,0.122,3
110011000000001303,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,7961,1049,1135,0.1186486486486486,2
110011000000001304,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,16148,2100,2133,0.1367619047619048,2
110011000000001305,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,4296,579,541,0.1252380952380952,2
110011000000001314,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,7091,934,926,0.1896666666666667,2
110011000000001317,CO,SAN CRISTOBAL,6,2011;2012;2015;2022;2023;2024,3198,487,340,0.1591489361702128,2
110011000000001321,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,11909,1647,1437,0.162625,2
110011000000001322,CO,USME,6,2011;2015;2021;2022;2023;2024,4035,558,388,0.18225,2
110011000000001323,CO,SAN CRISTOBAL,6,2011;2015;2021;2022;2023;2024,11493,1763,1413,0.1806060606060606,2
110011000000001325,CO,USME,6,2011;2015;2021;2022;2023;2024,8984,1457,853,0.2648101265822785,1
110011000000001405,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,9993,1064,1610,0.0846153846153846,3
110011000000001408,CO,SAN CRISTOBAL,6,2010;2011;2012;2015;2023;2024,7811,929,1077,0.08484375,2
110011000000001410,CO,SAN CRISTOBAL,6,2010;2011;2015;2016;2017;2024,8834,1103,1283,0.1153571428571429,3
110011000000002506,CO,RAFAEL URIBE URIBE,6,2010;2011;2015;2016;2017;2024,8366,1014,1169,0.08,2
110011000000002507,CO,RAFAEL URIBE URIBE,6,2010;2011;2015;2016;2017;2024,4588,607,599,0.1075609756097561,2
110011000000002510,CO,RAFAEL URIBE URIBE,6,2010;2011;2015;2016;2017;2024,30194,4310,3014,0.1260924369747899,2
110011000000002512,CO,CIUDAD BOLIVAR,6,2010;2011;2015;2016;2017;2024,125,23,2,0.08,2
110011000000002526,CO,USME,6,2010;2011;2015;2016;2021;2024,21702,3498,2110,0.1989385474860335,1
110011000000002567,CO,RAFAEL URIBE URIBE,6,2010;2011;2015;2016;2017;2024,8834,1367,748,0.1721621621621622,2
110011000000002568,CO,RAFAEL URIBE URIBE,6,2010;2011;2015;2016;2017;2024,18282,2658,1810,0.1264827586206897,2
110011000000002571,CO,USME,6,2011;2015;2021;2022;2023;2024,0,0,0,0.455,1
110011000000005101,CO,BARRIOS UNIDOS,6,2012;2013;2014;2016;2017;2020,6050,412,1335,0.0544444444444444,4
110011000000005102,CO,BARRIOS UNIDOS,6,2012;2013;2014;2016;2017;2020,14094,1323,2327,0.0245070422535211,4
110011000000005111,CO,TEUSAQUILLO,6,2010;2012;2013;2014;2017;2020,4840,295,1259,0.047391304347826,4
