SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000008523,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,7536,793,1047,0.0689999999999999,3
110011000000008524,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,85,11,8,0.0075,2
110011000000008525,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,2047,174,339,0.0388888888888888,3
110011000000008526,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,26840,3030,3308,0.0911538461538461,3
110011000000008528,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,21667,2592,2202,0.1124590163934426,3
110011000000008529,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,11848,1211,1241,0.0332,3
110011000000008534,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,11277,1693,929,0.2630232558139535,1
110011000000008535,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,16219,2500,1495,0.2092631578947368,1
110011000000008536,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,2028,280,167,0.1488235294117647,2
110011000000009101,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,7525,657,1274,0.0576923076923077,3
110011000000009102,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,22273,2262,3044,0.051,3
110011000000009103,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,7867,884,841,0.02,4
110011000000009104,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,11047,713,2426,0.01,4
110011000000009110,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,4069,263,931,0.016,4
110011000000009111,CO,SUBA,7,2011;2013;2014;2018;2019;2020;2021,21507,1619,5569,0.0153424657534246,5
110011000000009114,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,41218,4222,6250,0.0480821917808219,4
110011000000009119,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,18481,1404,3204,0.1378378378378378,4
110011000000009120,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,22795,1903,4272,0.0325,4
110011000000009121,CO,SUBA,7,2013;2014;2017;2018;2019;2020;2024,9930,1047,1215,0.0603030303030303,4
110011000000009122,CO,SUBA,7,2013;2014;2018;2019;2020;2021;2024,3137,255,717,0.035,4
110011000000009208,CO,SUBA,7,2014;2018;2019;2021;2022;2023;2024,24518,2602,3314,0.0482786885245901,3
110011000000009213,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,4339,438,582,0.1429166666666667,5
110011000000009214,CO,SUBA,7,2014;2018;2019;2021;2022;2023;2024,30958,3669,3523,0.0768799999999999,2
110011000000009216,CO,SUBA,7,2014;2018;2019;2021;2022;2023;2024,37451,4855,3873,0.0700869565217391,2
