pollutant,year,cluster,total_population,children_0_9,youth_10_19,adults_20_59,older_adults_60_plus,avg_IPM,sector_count
O3,2022,NS,4633463,586638,692216,2779875,574734,0.1129412786257483,418
O3,2023,HH,1522925,188661,219108,924874,190282,0.07684836592219077,137
O3,2023,LL,1812446,202697,244857,1121145,243747,0.07986692923649785,97
O3,2023,NS,3774037,461318,552945,2255717,504057,0.11336097315882947,391
O3,2024,HH,1153769,109887,131958,712456,199468,0.05666553027447715,147
O3,2024,HL,41546,5467,6249,25826,4004,0.0912578616352201,1
O3,2024,LL,1928139,226062,274216,1172467,255394,0.10854536010084427,158
O3,2024,NS,3985954,511260,604487,2390987,479220,0.11607586540584952,319
PM10,2010,HH,2270460,299264,352980,1367500,250716,0.11039684954206787,113
PM10,2010,LL,1482545,136212,165160,914517,266656,0.05830108031521558,186
PM10,2010,NS,3356403,417200,498770,2019719,420714,0.12049268047699074,326
PM10,2011,HH,2378264,312821,368141,1433291,264011,0.1100411831371466,122
PM10,2011,LL,1391511,135342,163508,855859,236802,0.07811729148230423,198
PM10,2011,NS,3339633,404513,485261,2012586,437273,0.11051544497099877,305
PM10,2012,HH,2246192,295241,347426,1357409,246116,0.11063511634817187,114
PM10,2012,LL,1505235,160251,197721,909691,237572,0.10097636133032026,190
PM10,2012,NS,3357981,397184,471763,2034636,454398,0.0959549746290664,321
PM10,2013,HH,2161849,287182,337721,1301091,235855,0.11436787797433513,104
PM10,2013,LL,1432221,145392,177816,858972,250041,0.0834862019998038,181
PM10,2013,NS,3515338,420102,501373,2141673,452190,0.10468881441496296,340
PM10,2014,HH,2601472,345961,402054,1554864,298593,0.11250012408788175,159
PM10,2014,LL,1625223,154611,185446,997258,287908,0.06334398196961173,206
PM10,2014,NS,2882713,352104,429410,1749614,351585,0.12178107214103667,260
PM10,2015,HH,2257705,297387,347365,1359126,253827,0.10990336442584166,122
PM10,2015,LL,1589817,166679,202450,960563,260125,0.09758064023018428,203
PM10,2015,NS,3261886,388610,467095,1982047,424134,0.0979412611523422,300
PM10,2016,HH,2344282,311951,362484,1405169,264678,0.11464306555615442,130
PM10,2016,LL,994340,114025,141966,600292,138057,0.11747309317616789,156
PM10,2016,NS,3770786,426700,512460,2296275,535351,0.08663733839115188,339
PM10,2017,HH,2465281,320402,377283,1489997,277599,0.1098034069490159,122
PM10,2017,LL,1008175,114428,143052,609634,141061,0.11560723732688333,158
PM10,2017,NS,3635952,417846,496575,2202105,519426,0.08967391196218912,345
PM10,2018,HH,2398381,314820,368100,1444467,270994,0.11049924208044777,124
PM10,2018,LL,1024505,107537,132321,627475,157172,0.09704682558018678,196
PM10,2018,NS,3686522,430319,516489,2229794,509920,0.09795532767439546,305
PM10,2019,HH,2858880,370534,435725,1732704,319917,0.10711216915159913,143
PM10,2019,LL,1455587,147046,176733,886582,245226,0.08445133142265425,212
PM10,2019,NS,2794941,335096,404452,1682450,372943,0.10881013452630141,270
PM10,2020,HH,2249733,300877,351333,1342889,254634,0.11361172998658786,119
PM10,2020,LL,997929,100232,126613,606634,164450,0.09175444344656568,167
PM10,2020,NS,3861746,451567,538964,2352213,519002,0.09957720014277974,339
PM10,2021,HH,2333190,304528,356372,1408829,263461,0.10168082091470071,117
PM10,2021,LL,906700,90904,114454,549678,151664,0.09239174379976765,170
PM10,2021,NS,3869518,457244,546084,2343229,522961,0.10353907183255108,338
PM10,2022,HH,2823220,375081,436324,1692909,318906,0.122374074640005,164
PM10,2022,LL,1519605,142295,172304,937694,267312,0.07398296079254808,219
PM10,2022,NS,2766583,335300,408282,1671133,351868,0.10879273602418967,242
PM10,2023,HH,2617826,349754,409100,1573590,285382,0.12012242955291612,135
PM10,2023,LL,1509981,143241,173145,929200,264395,0.081559799577021,233
PM10,2023,NS,2981601,359681,434665,1798946,388309,0.10653500965483727,257
PM10,2024,HH,2349636,308212,362970,1419913,258541,0.10497350783387079,115
PM10,2024,LL,1602128,155042,189626,976501,280959,0.08163949691924433,224
PM10,2024,NS,3157644,389422,464314,1905322,398586,0.1127281750404786,286
PM2.5,2010,HH,2376168,308990,364970,1434847,267361,0.10376095324962227,125
PM2.5,2010,LL,1513976,148256,177463,923940,264317,0.060979505550697935,155
PM2.5,2010,NS,3219264,395430,474477,1942949,406408,0.11645656885745445,345
PM2.5,2011,HH,2411326,314237,371129,1453002,272958,0.10396366690028006,131
PM2.5,2011,LL,1429440,133431,161040,874091,260878,0.0526278016490792,164
PM2.5,2011,NS,3268642,405008,484741,1974643,404250,0.12227048163029418,330
PM2.5,2012,HH,2325253,306423,360029,1403375,255426,0.11091065698387574,121
PM2.5,2012,LL,1499804,142499,174985,914362,267958,0.05847505211516824,151
PM2.5,2012,NS,3284351,403754,481896,1983999,414702,0.1143046357165535,353
PM2.5,2013,HH,2222621,293637,346435,1339257,243292,0.11695588725651992,115
PM2.5,2013,LL,1540550,152887,186872,929534,271257,0.07061695367030506,166
PM2.5,2013,NS,3346237,406152,483603,2032945,423537,0.10879975996689628,344
PM2.5,2014,HH,2388518,311294,364051,1440107,273066,0.10894720578592605,133
PM2.5,2014,LL,1494939,149225,181165,907738,256811,0.08853862404336892,221
PM2.5,2014,NS,3225951,392157,471694,1953891,408209,0.10532267339214044,271
PM2.5,2015,HH,2501366,334459,391451,1499345,276111,0.117928392070888,131
PM2.5,2015,LL,1099025,114785,143131,660801,180308,0.10088447278903745,169
PM2.5,2015,NS,3509017,403432,482328,2141590,481667,0.09261958002999722,325
PM2.5,2016,HH,2415277,323891,378874,1448675,263837,0.11818019051285576,123
PM2.5,2016,LL,1341206,146674,180752,812996,200784,0.10899289558360328,164
PM2.5,2016,NS,3352925,382111,457284,2040065,473465,0.08931497178577087,338
PM2.5,2017,HH,2197768,280720,330448,1324515,262085,0.09621739706634513,148
PM2.5,2017,LL,1384884,156800,191312,830444,206328,0.11648824735214192,156
PM2.5,2017,NS,3526756,415156,495150,2146777,469673,0.09404086423560602,321
PM2.5,2018,HH,1871661,234664,277750,1123841,235406,0.08961190121871951,132
PM2.5,2018,LH,285,32,32,185,36,0.321875,1
PM2.5,2018,LL,1330043,142146,172331,809827,205739,0.09615509699896968,178
PM2.5,2018,NS,3907419,475834,566797,2367883,496905,0.10615670555953877,314
