SETU_CCNCT,pollutant,localidad,HH_years_count,years_as_HH,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000004531,CO,KENNEDY,8,2011;2012;2014;2020;2021;2022;2023;2024,5161,386,1198,0.029375,4
110011000000004536,CO,BOSA,8,2010;2011;2012;2014;2017;2020;2023;2024,13037,1760,1809,0.1135106382978723,2
110011000000004541,CO,KENNEDY,8,2010;2011;2012;2014;2020;2021;2023;2024,38115,6231,2696,0.1609545454545455,2
110011000000004547,CO,KENNEDY,8,2010;2011;2012;2014;2020;2021;2023;2024,41828,6330,3469,0.1167054263565891,2
110011000000006504,CO,KENNEDY,8,2011;2012;2014;2020;2021;2022;2023;2024,21842,1835,4079,0.0402312138728323,3
110011000000002203,CO,RAFAEL URIBE URIBE,7,2012;2013;2018;2019;2020;2022;2023,7125,781,1239,0.0782456140350877,3
110011000000002204,CO,RAFAEL URIBE URIBE,7,2012;2013;2018;2020;2021;2022;2023,5439,516,975,0.0712820512820512,3
110011000000002205,CO,RAFAEL URIBE URIBE,7,2012;2013;2018;2020;2021;2022;2023,9891,1220,1473,0.1112,3
110011000000004402,CO,PUENTE ARANDA,7,2011;2012;2013;2018;2019;2020;2022,8295,680,1737,0.0296923076923076,3
110011000000004534,CO,KENNEDY,7,2011;2012;2014;2021;2022;2023;2024,35431,5158,3640,0.1330917874396135,2
110011000000004543,CO,KENNEDY,7,2010;2011;2012;2014;2021;2023;2024,102780,14932,6603,0.1495774647887324,2
110011000000004544,CO,KENNEDY,7,2011;2012;2014;2021;2022;2023;2024,42576,5374,3694,0.0726530612244897,3
110011000000006505,CO,KENNEDY,7,2011;2012;2014;2021;2022;2023;2024,11596,1087,1800,0.0576,3
110011000000006508,CO,KENNEDY,7,2011;2012;2014;2021;2022;2023;2024,1725,202,269,0.1129411764705882,3
110011000000007101,CO,TEUSAQUILLO,7,2015;2016;2017;2019;2022;2023;2024,6965,439,1558,0.0243076923076923,4
110011000000002106,CO,PUENTE ARANDA,6,2012;2013;2018;2019;2020;2022,306,27,69,0.26,3
110011000000002412,CO,TUNJUELITO,6,2012;2013;2018;2020;2022;2023,21,0,1,0.1,2
110011000000002501,CO,RAFAEL URIBE URIBE,6,2012;2013;2018;2020;2022;2023,17403,2174,2415,0.1010416666666667,2
110011000000002509,CO,CIUDAD BOLIVAR,6,2012;2013;2018;2020;2022;2023,6087,822,782,0.1463636363636364,2
110011000000002513,CO,CIUDAD BOLIVAR,6,2012;2013;2018;2019;2020;2022,12154,1680,1364,0.1041509433962264,2
110011000000002521,CO,CIUDAD BOLIVAR,6,2012;2013;2018;2019;2020;2022,17606,2832,1903,0.1530555555555556,1
110011000000002558,CO,CIUDAD BOLIVAR,6,2012;2013;2018;2019;2020;2022,20304,3216,2085,0.1855851063829787,1
110011000000002560,CO,CIUDAD BOLIVAR,6,2012;2013;2014;2018;2019;2020,12394,2103,1337,0.202,1
110011000000004413,CO,PUENTE ARANDA,6,2012;2013;2018;2019;2020;2022,2288,209,453,0.03,3
110011000000004516,CO,KENNEDY,6,2011;2014;2021;2022;2023;2024,20149,3032,1628,0.1336296296296296,2
110011000000004526,CO,BOSA,6,2010;2011;2012;2014;2023;2024,120881,19121,8581,0.1795265423242468,2
110011000000004539,CO,KENNEDY,6,2010;2011;2014;2021;2023;2024,22919,3280,1989,0.0951937984496124,2
110011000000004552,CO,KENNEDY,6,2011;2014;2021;2022;2023;2024,25173,2704,2298,0.0415,2
110011000000006502,CO,FONTIBON,6,2011;2012;2014;2021;2023;2024,15469,1434,2702,0.0463095238095238,3
110011000000007102,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,3055,174,461,0.0311764705882353,4
110011000000007103,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,977,57,202,0.0733333333333333,4
110011000000007104,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,2632,202,384,0.0720833333333333,4
110011000000007105,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,2111,151,384,0.0385,4
110011000000007106,CO,LOS MARTIRES,6,2015;2016;2017;2022;2023;2024,1189,85,202,0.0792307692307692,3
110011000000007205,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,5016,314,882,0.0202083333333333,4
110011000000008101,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,1484,63,271,0.090625,3
110011000000008102,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,16,3,2,0.2366666666666667,2
110011000000008103,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,397,28,66,0.06625,3
110011000000008104,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,4620,449,885,0.0802439024390243,2
110011000000008107,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,2038,182,375,0.112,4
110011000000008108,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,4914,370,558,0.0485714285714285,4
110011000000008109,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,890,85,158,0.2016666666666667,3
110011000000008208,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,9121,607,944,0.0633333333333333,4
110011000000008209,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,4678,628,378,0.153695652173913,1
110011000000008210,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,1098,55,127,0.0225,4
110011000000008211,CO,SANTA FE,6,2015;2016;2017;2022;2023;2024,4685,163,418,0.0428,4
110011000000008212,CO,CHAPINERO,6,2015;2016;2017;2022;2023;2024,5335,261,682,0.032,4
110011000000002104,CO,RAFAEL URIBE URIBE,5,2013;2018;2019;2020;2022,11960,1273,1855,0.06,3
110011000000002105,CO,ANTONIO NARIÑO,5,2013;2018;2019;2020;2022,1701,198,266,0.083076923076923,3
110011000000002107,CO,LOS MARTIRES,5,2013;2018;2019;2020;2022,4842,445,982,0.0566101694915254,3
110011000000002302,CO,ANTONIO NARIÑO,5,2013;2018;2019;2020;2022,3469,353,622,0.073,3
110011000000002304,CO,RAFAEL URIBE URIBE,5,2013;2018;2019;2020;2022,1926,218,292,0.075,3
110011000000002305,CO,RAFAEL URIBE URIBE,5,2013;2018;2019;2020;2022,6102,656,974,0.0947619047619047,3
110011000000002514,CO,CIUDAD BOLIVAR,5,2012;2013;2018;2020;2022,5945,973,486,0.158,1
110011000000004205,CO,PUENTE ARANDA,5,2011;2012;2019;2020;2024,13088,1356,1749,0.0841791044776119,3
110011000000004301,CO,PUENTE ARANDA,5,2011;2012;2019;2021;2024,266,22,39,0.175,3
110011000000004303,CO,PUENTE ARANDA,5,2011;2012;2019;2020;2024,5146,558,827,0.0345833333333333,3
110011000000004305,CO,KENNEDY,5,2011;2012;2019;2021;2024,4171,461,599,0.0653333333333333,3
110011000000004306,CO,PUENTE ARANDA,5,2011;2012;2019;2021;2024,3885,427,550,0.0479166666666666,3
110011000000004307,CO,PUENTE ARANDA,5,2011;2012;2019;2021;2024,4756,482,756,0.0572727272727272,3
110011000000004308,CO,PUENTE ARANDA,5,2011;2012;2019;2021;2024,8218,843,1463,0.04,3
110011000000004519,CO,BOSA,5,2010;2011;2014;2023;2024,44255,6758,3654,0.137172131147541,2
110011000000004545,CO,KENNEDY,5,2010;2011;2014;2023;2024,47240,6789,3773,0.1095670995670996,2
110011000000005107,CO,TEUSAQUILLO,5,2015;2016;2019;2022;2024,2382,151,522,0.0464,4
110011000000006102,CO,SANTA FE,5,2016;2017;2022;2023;2024,164,18,26,0.06,3
110011000000006503,CO,KENNEDY,5,2011;2012;2019;2021;2024,1817,177,250,0.1270588235294118,3
110011000000006506,CO,KENNEDY,5,2011;2014;2021;2023;2024,14517,1367,2349,0.0316883116883116,3
110011000000006507,CO,FONTIBON,5,2011;2021;2022;2023;2024,42697,5582,4109,0.0957788944723618,3
110011000000006509,CO,FONTIBON,5,2011;2012;2021;2023;2024,115,12,7,0.2514285714285714,3
110011000000007107,CO,TEUSAQUILLO,5,2015;2016;2019;2022;2024,1760,93,467,0.05,4
110011000000002201,CO,RAFAEL URIBE URIBE,4,2013;2018;2020;2022,4723,509,784,0.0748571428571428,3
110011000000002502,CO,RAFAEL URIBE URIBE,4,2013;2018;2022;2023,7379,1000,1038,0.1151785714285714,3
110011000000002503,CO,RAFAEL URIBE URIBE,4,2013;2018;2022;2023,7392,948,904,0.1410869565217391,3
110011000000002508,CO,RAFAEL URIBE URIBE,4,2012;2013;2018;2022,9984,1406,1359,0.1183606557377049,2
110011000000002510,CO,RAFAEL URIBE URIBE,4,2013;2018;2020;2022,30194,4310,3014,0.1260924369747899,2
110011000000002517,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,19563,3064,1930,0.1453741496598639,2
110011000000002519,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,24800,3843,2688,0.1610204081632653,1
110011000000002520,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,30,2,3,0.0,2
110011000000002523,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,19427,3215,1752,0.1881666666666666,1
110011000000002530,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,13694,2682,1070,0.3673519163763067,1
110011000000002559,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,11486,1893,1286,0.2052991452991453,1
110011000000002561,CO,CIUDAD BOLIVAR,4,2012;2013;2018;2020,23736,4493,1634,0.3322054380664652,1
110011000000003101,CO,SANTA FE,4,2016;2017;2022;2024,4282,481,520,0.2051851851851852,3
110011000000004204,CO,PUENTE ARANDA,4,2011;2012;2019;2020,8789,857,1486,0.0426785714285714,3
110011000000004206,CO,PUENTE ARANDA,4,2011;2012;2019;2024,12676,1331,2112,0.0517808219178082,3
110011000000004207,CO,PUENTE ARANDA,4,2011;2019;2021;2024,196,15,23,0.038695652173913,2
110011000000004209,CO,PUENTE ARANDA,4,2018;2019;2020;2022,4617,476,814,0.0554545454545454,3
110011000000004535,CO,KENNEDY,4,2014;2021;2023;2024,11270,1609,1241,0.11,2
110011000000004550,CO,KENNEDY,4,2014;2022;2023;2024,36135,5075,2474,0.1327777777777778,2
110011000000004553,CO,KENNEDY,4,2014;2022;2023;2024,21790,2830,1880,0.0630434782608695,2
110011000000004556,CO,KENNEDY,4,2014;2022;2023;2024,13725,1964,1045,0.0366666666666666,2
110011000000004557,CO,FONTIBON,4,2014;2022;2023;2024,10349,1169,869,0.0553846153846153,2
110011000000006101,CO,LOS MARTIRES,4,2016;2019;2022;2024,1180,90,209,0.0308333333333333,3
110011000000006107,CO,LOS MARTIRES,4,2016;2019;2022;2024,335,22,37,0.2163636363636363,3
110011000000006108,CO,LOS MARTIRES,4,2016;2019;2022;2024,6715,542,1469,0.0658620689655172,4
110011000000006202,CO,PUENTE ARANDA,4,2016;2019;2022;2024,4664,351,938,0.0283333333333333,4
110011000000006501,CO,FONTIBON,4,2011;2021;2023;2024,20980,2566,2391,0.024,4
110011000000007202,CO,TEUSAQUILLO,4,2015;2016;2017;2019,6279,398,1408,0.0378461538461538,4
110011000000007204,CO,CHAPINERO,4,2015;2016;2017;2022,4636,312,604,0.0504761904761904,3
110011000000007206,CO,TEUSAQUILLO,4,2015;2016;2019;2022,5442,279,1100,0.0214285714285714,4
110011000000008105,CO,SANTA FE,4,2016;2017;2022;2024,3183,187,512,0.027391304347826,4
110011000000008207,CO,CHAPINERO,4,2015;2016;2017;2022,4595,219,618,0.014054054054054,4
110011000000008213,CO,CHAPINERO,4,2015;2016;2017;2022,7372,360,1036,0.0612820512820512,3
110011000000001402,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,14164,1540,2217,0.0602197802197802,3
110011000000001403,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,7552,767,991,0.0369565217391304,3
110011000000002202,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,10177,1104,1795,0.0695238095238095,3
110011000000002504,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,13401,1907,1671,0.1685271317829457,2
110011000000002505,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,9424,1410,1059,0.1850574712643678,2
110011000000002512,CO,CIUDAD BOLIVAR,3,2013;2018;2020,125,23,2,0.08,2
110011000000002516,CO,CIUDAD BOLIVAR,3,2012;2013;2018,5212,779,569,0.1271794871794872,2
110011000000002562,CO,CIUDAD BOLIVAR,3,2012;2013;2018,4842,941,374,0.3333035714285714,1
110011000000002567,CO,RAFAEL URIBE URIBE,3,2013;2018;2022,8834,1367,748,0.1721621621621622,2
110011000000003102,CO,SANTA FE,3,2016;2017;2022,5951,369,992,0.11,3
110011000000004210,CO,PUENTE ARANDA,3,2018;2019;2020,8419,824,1632,0.0303658536585365,3
110011000000004538,CO,KENNEDY,3,2014;2023;2024,24532,4026,1748,0.1686111111111111,2
110011000000004542,CO,KENNEDY,3,2014;2023;2024,34986,5780,2509,0.1610041841004184,2
110011000000004546,CO,FONTIBON,3,2022;2023;2024,547,103,29,0.2611764705882353,1
110011000000004551,CO,KENNEDY,3,2014;2023;2024,15761,1663,1150,0.057,2
110011000000004555,CO,KENNEDY,3,2014;2023;2024,15904,2578,814,0.045,2
110011000000004558,CO,KENNEDY,3,2022;2023;2024,3781,494,262,0.1847058823529412,2
110011000000004559,CO,KENNEDY,3,2014;2023;2024,0,0,0,0.86,1
110011000000006103,CO,SANTA FE,3,2016;2022;2024,7592,874,958,0.1019354838709677,3
110011000000006104,CO,SANTA FE,3,2016;2022;2024,4617,596,506,0.2218181818181818,2
110011000000006203,CO,LOS MARTIRES,3,2019;2022;2024,68,8,6,0.14875,3
110011000000006204,CO,LOS MARTIRES,3,2019;2022;2024,2162,325,148,0.0920833333333333,1
110011000000006206,CO,PUENTE ARANDA,3,2011;2019;2024,68,7,5,0.3254545454545454,3
110011000000006304,CO,PUENTE ARANDA,3,2011;2019;2021,2353,273,297,0.1125,3
110011000000006305,CO,FONTIBON,3,2011;2021;2024,285,32,36,0.321875,3
110011000000006307,CO,FONTIBON,3,2011;2021;2024,260,33,25,0.1410526315789474,3
110011000000006415,CO,FONTIBON,3,2022;2023;2024,24371,2977,2235,0.0951162790697674,2
110011000000007201,CO,TEUSAQUILLO,3,2015;2016;2019,1363,95,298,0.0605555555555555,4
110011000000007203,CO,CHAPINERO,3,2015;2016;2017,4501,289,668,0.0466666666666666,3
110011000000007208,CO,TEUSAQUILLO,3,2015;2016;2017,2373,158,459,0.0365384615384615,4
110011000000007209,CO,TEUSAQUILLO,3,2015;2016;2017,6408,471,1022,0.0341463414634146,3
110011000000007304,CO,CHAPINERO,3,2015;2016;2017,1350,112,186,0.0538888888888888,3
110011000000007305,CO,CHAPINERO,3,2015;2016;2017,2043,162,303,0.0708333333333333,3
110011000000007306,CO,TEUSAQUILLO,3,2015;2016;2017,2053,133,369,0.0309090909090909,3
110011000000007308,CO,BARRIOS UNIDOS,3,2015;2016;2019,1692,156,300,0.0492857142857142,3
110011000000007311,CO,BARRIOS UNIDOS,3,2015;2016;2019,2495,276,325,0.0875675675675675,3
110011000000008201,CO,CHAPINERO,3,2015;2016;2017,1730,107,407,0.1073333333333333,4
110011000000008202,CO,CHAPINERO,3,2015;2016;2017,1273,80,284,0.0192307692307692,6
