localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
SUBA,CO,2023,HH,30868,3066,5356,0.0484978991596638,2
SUBA,CO,2023,LL,1118453,126566,146717,0.08576808454682491,49
SUBA,CO,2023,NS,153107,14107,30250,0.039584752330421996,18
SUBA,CO,2024,LL,1150820,129777,151492,0.08280494969457616,52
SUBA,CO,2024,NS,151608,13962,30831,0.04154706464372848,17
SUBA,NO2,2010,LL,1284459,142217,178427,0.07354292206387522,67
SUBA,NO2,2010,NS,17969,1522,3896,0.04239085239085235,2
SUBA,NO2,2013,LL,385593,37425,69636,0.044689941195557886,27
SUBA,NO2,2013,NS,916835,106314,112687,0.09060783501860192,42
SUBA,NO2,2014,LL,1230521,135934,170535,0.07432839869509646,62
SUBA,NO2,2014,NS,71907,7805,11788,0.05768525199505193,7
SUBA,NO2,2015,HH,156084,13971,31008,0.0439955486902586,12
SUBA,NO2,2015,LL,141098,13510,21980,0.11581680800106403,17
SUBA,NO2,2015,NS,1005246,116258,129335,0.0628831290690038,40
SUBA,NO2,2016,LL,4715,328,1199,0.0466,1
SUBA,NO2,2016,NS,1297713,143411,181124,0.07302290416266682,68
SUBA,NO2,2017,NS,1302428,143739,182323,0.07263996352262818,69
SUBA,NO2,2018,LL,1286634,141035,181417,0.07123305329274139,68
SUBA,NO2,2018,NS,15794,2704,906,0.1683098591549296,1
SUBA,NO2,2019,LL,95338,8909,15297,0.1398003801286154,10
SUBA,NO2,2019,NS,1207090,134830,167026,0.061256842063986267,59
SUBA,NO2,2020,LL,719232,73295,107249,0.07743823978984568,39
SUBA,NO2,2020,NS,583196,70444,75074,0.0664022043752454,30
SUBA,NO2,2021,HH,542716,66015,66870,0.07518334052927271,21
SUBA,NO2,2021,LL,40349,3820,6387,0.17811592765626377,7
SUBA,NO2,2021,NS,719363,73904,109066,0.05332916678909197,41
SUBA,NO2,2022,HH,23142,2487,3219,0.07015151515151516,2
SUBA,NO2,2022,LL,101983,9068,17782,0.11750890177906981,14
SUBA,NO2,2022,NS,1177303,132184,161322,0.06088169486511955,53
SUBA,NO2,2023,HH,349347,38946,50035,0.06697484747295343,15
SUBA,NO2,2023,LL,44204,4111,7328,0.15915332349168362,8
SUBA,NO2,2023,NS,908877,100682,124960,0.059441482239860295,46
SUBA,NO2,2024,HH,103596,11392,15509,0.06624708181663562,6
SUBA,NO2,2024,LL,35634,3492,5188,0.20003524893230773,6
SUBA,NO2,2024,NS,1163198,128855,161626,0.05990286839592427,57
SUBA,O3,2010,HH,1119151,119191,167419,0.06681247795040586,64
SUBA,O3,2010,NS,183277,24548,14904,0.14723177884707375,5
SUBA,O3,2011,HH,1269481,138947,179433,0.06002339631984771,63
SUBA,O3,2011,NS,32947,4792,2890,0.20511391915182306,6
SUBA,O3,2012,HH,1180350,131627,162690,0.06194743940897724,52
SUBA,O3,2012,NS,122078,12112,19633,0.10534650787026632,17
SUBA,O3,2013,HH,1241564,139020,168374,0.07743374383969902,61
SUBA,O3,2013,NS,60864,4719,13949,0.03608738860496295,8
SUBA,O3,2014,HH,1196550,127635,175241,0.06960004589962425,66
SUBA,O3,2014,NS,105878,16104,7082,0.13951815122871433,3
SUBA,O3,2015,HH,762208,76395,124779,0.051331105285376044,48
SUBA,O3,2015,NS,540220,67344,57544,0.1213459252077759,21
SUBA,O3,2016,HH,1286634,141035,181417,0.07123305329274139,68
SUBA,O3,2016,NS,15794,2704,906,0.1683098591549296,1
SUBA,O3,2017,HH,1127678,127290,148273,0.08331108707629858,50
SUBA,O3,2017,NS,174750,16449,34050,0.04455805943402182,19
SUBA,O3,2018,HH,1166614,132481,152398,0.08441824987307338,53
SUBA,O3,2018,LL,10667,866,2494,0.0598529411764705,1
SUBA,O3,2018,NS,125147,10392,27431,0.03187581990746561,15
SUBA,O3,2019,HH,919248,99514,129844,0.07564174196873895,47
SUBA,O3,2019,NS,383180,44225,52479,0.06622707320593697,22
