localidad,contaminante,sectores_totales_localidad,sectores_HH_persistentes,proporcion_persistente,criterio_usado
TUNJUELITO,PM10,4,3,0.75,HH_years >= 10 (de 15 disponibles)
TUNJUELITO,PM2.5,4,3,0.75,HH_years >= 10 (de 15 disponibles)
TUNJUELITO,SO2,4,1,0.25,HH_years >= 10 (de 13 disponibles)
TUNJUELITO,eBC,4,4,1.0,HH_years >= 2 (de 3 disponibles)
USAQUEN,CO,42,0,0.0,HH_years >= 10 (de 15 disponibles)
USAQUEN,NO2,42,0,0.0,HH_years >= 10 (de 13 disponibles)
USAQUEN,O3,42,10,0.2381,HH_years >= 10 (de 15 disponibles)
USAQUEN,PM10,42,0,0.0,HH_years >= 10 (de 15 disponibles)
USAQUEN,PM2.5,42,0,0.0,HH_years >= 10 (de 15 disponibles)
USAQUEN,SO2,42,0,0.0,HH_years >= 10 (de 13 disponibles)
USAQUEN,eBC,42,0,0.0,HH_years >= 2 (de 3 disponibles)
USME,CO,36,0,0.0,HH_years >= 10 (de 15 disponibles)
USME,NO2,36,0,0.0,HH_years >= 10 (de 13 disponibles)
USME,O3,36,0,0.0,HH_years >= 10 (de 15 disponibles)
USME,PM10,36,0,0.0,HH_years >= 10 (de 15 disponibles)
USME,PM2.5,36,0,0.0,HH_years >= 10 (de 15 disponibles)
USME,SO2,36,0,0.0,HH_years >= 10 (de 13 disponibles)
USME,eBC,36,0,0.0,HH_years >= 2 (de 3 disponibles)
